season,head_coach
20122013,John Tortorella
20122013,Claude Julien
20122013,Dan Bylsma
20122013,Mike Babcock
20122013,Joel Quenneville
20122013,Paul MacLean
20122013,Michel Therrien
20122013,Mike Yeo
20122013,Darryl Sutter
20122013,Ken Hitchcock
20122013,Bruce Boudreau
20122013,Jack Capuano
20122013,Adam Oates
20162017,Glen Gulutzan
20162017,Randy Carlyle
20142015,Joel Quenneville
20142015,Jon Cooper
20152016,Alain Vigneault
20152016,Mike Sullivan
20152016,Peter DeBoer
20152016,Darryl Sutter
20132014,Joel Quenneville
20132014,Ken Hitchcock
20152016,Dave Hakstol
20152016,Barry Trotz
20142015,Mike Johnston
20142015,Alain Vigneault
20132014,Mike Yeo
20132014,Patrick Roy
20152016,John Torchetti
20152016,Lindy Ruff
20142015,Mike Yeo
20142015,Ken Hitchcock
20142015,Dave Cameron
20142015,Michel Therrien
20132014,Darryl Sutter
20132014,Bruce Boudreau
20152016,Jack Capuano
20152016,Gerard Gallant
20132014,Lindy Ruff
20162017,Peter Laviolette
20162017,Mike Yeo
20152016,Joel Quenneville
20152016,Ken Hitchcock
20142015,Barry Trotz
20162017,Mike Babcock
20162017,Barry Trotz
20162017,John Tortorella
20162017,Mike Sullivan
20142015,Jack Capuano
20162017,Bruce Boudreau
20152016,Jon Cooper
20142015,Paul Maurice
20142015,Bruce Boudreau
20172018,Peter DeBoer
20172018,Gerard Gallant
20172018,Randy Carlyle
20172018,Barry Trotz
20172018,Jon Cooper
20172018,John Tortorella
20172018,Paul Maurice
20172018,Peter Laviolette
20172018,John Stevens
20172018,Bruce Cassidy
20172018,Dave Hakstol
20172018,Mike Sullivan
20172018,John Hynes
20172018,Mike Babcock
20172018,Jared Bednar
20172018,Bruce Boudreau
20122013,Todd Richards
20122013,Kirk Muller
20132014,Mike Babcock
20122013,Peter DeBoer
20132014,Adam Oates
20132014,Bob Hartley
20132014,Michel Therrien
20132014,Craig Berube
20132014,Dan Bylsma
20132014,Claude Noel
20132014,Kevin Dineen
20132014,Jon Cooper
20132014,Claude Julien
20132014,Todd McLellan
20122013,Joe Sacco
20132014,John Tortorella
20122013,Ralph Krueger
20132014,Randy Carlyle
20132014,Peter DeBoer
20132014,Todd Richards
20132014,Peter Horachek
20132014,Ted Nolan
20122013,Kevin Dineen
20132014,Paul Maurice
20132014,Paul MacLean
20122013,Randy Carlyle
20122013,Lindy Ruff
20122013,Claude Noel
20132014,Dave Tippett
20132014,Dallas Eakins
20122013,Bob Hartley
20122013,Dave Tippett
20122013,Ron Rolston
20122013,Alain Vigneault
20132014,Barry Trotz
20132014,Alain Vigneault
20122013,Guy Boucher
20122013,Jon Cooper
20132014,Jack Capuano
20122013,Todd McLellan
20142015,Darryl Sutter
20142015,Dave Tippett
20142015,Todd Richards
20142015,Bill Peters
20142015,Todd McLellan
20142015,Claude Julien
20142015,Craig Berube
20142015,Gerard Gallant
20142015,Peter Horachek
20142015,Mike Babcock
20142015,Ted Nolan
20142015,Bob Hartley
20142015,Patrick Roy
20142015,Adam Oates
20142015,Willie Desjardins
20142015,Lindy Ruff
20142015,Peter DeBoer
20142015,Randy Carlyle
20142015,Peter Laviolette
20142015,Todd Nelson
20142015,Paul MacLean
20162017,Dave Hakstol
20152016,Patrick Roy
20152016,Paul Maurice
20172018,Glen Gulutzan
20152016,Mike Babcock
20172018,Travis Green
20152016,Todd McLellan
20162017,Jack Capuano
20172018,Doug Weight
20162017,Paul Maurice
20162017,Joel Quenneville
20172018,Todd McLellan
20152016,Claude Julien
20162017,Guy Boucher
20172018,Claude Julien
20162017,Jared Bednar
20172018,Bill Peters
20162017,Lindy Ruff
20162017,Bill Peters
20162017,Claude Julien
20162017,Jeff Blashill
20172018,Phil Housley
20152016,John Hynes
20172018,Ken Hitchcock
20162017,Darryl Sutter
20162017,Tom Rowe
20162017,Peter DeBoer
20162017,Dave Tippett
20162017,Ken Hitchcock
20172018,Guy Boucher
20172018,Alain Vigneault
20152016,Willie Desjardins
20172018,Mike Yeo
20152016,Bob Hartley
20152016,Dan Bylsma
20152016,Dave Cameron
20152016,Peter Laviolette
20172018,Joel Quenneville
20162017,Todd McLellan
20162017,Michel Therrien
20152016,Bill Peters
20152016,Bruce Boudreau
20152016,Dave Tippett
20162017,Alain Vigneault
20152016,Jeff Blashill
20162017,Bruce Cassidy
20122013,Glen Gulutzan
20132014,Ron Rolston
20132014,Kirk Muller
20122013,Barry Trotz
20132014,Peter Laviolette
20122013,Peter Laviolette
20122013,Martin Raymond
20142015,Dallas Eakins
20162017,Jon Cooper
20162017,Willie Desjardins
20172018,Rick Tocchet
20172018,Bob Boughner
20152016,John Tortorella
20172018,Jeff Blashill
20152016,Mike Johnston
20162017,Dan Bylsma
20162017,John Hynes
20152016,Mike Yeo
20162017,Doug Weight
20152016,Michel Therrien
20142015,Craig MacTavish
20162017,Gerard Gallant
20152016,Todd Richards
